date,description,amount
2025-11-01,Monthly Rent,-1650
2025-11-04,Whole Foods Market,-138.54
2025-11-06,Metro Transit,-32
2025-11-10,Electric Bill,-74.25
2025-11-14,Netflix,-15.49
2025-11-19,Chipotle,-18.75
2025-12-01,Monthly Rent,-1650
2025-12-03,Trader Joes,-121.43
2025-12-07,Uber Trip,-26.18
2025-12-11,Internet Service,-59.99
2025-12-16,Spotify,-11.99
2025-12-21,Amazon Marketplace,-82.35
2026-01-01,Monthly Rent,-1650
2026-01-05,Kroger Grocery,-149.62
2026-01-09,Shell Gas,-44.30
2026-01-12,Mobile Phone Bill,-52
2026-01-18,Local Cafe,-13.70
2026-01-24,Gym Membership,-39
2026-02-01,Monthly Rent,-1650
2026-02-04,Whole Foods Market,-158.81
2026-02-10,Lyft Ride,-22.40
2026-02-13,Electric Bill,-81.36
2026-02-17,Movie Theater,-29.50
2026-02-25,Target Store,-64.18
2026-03-01,Monthly Rent,-1650
2026-03-06,Costco Groceries,-174.92
2026-03-11,Metro Transit,-32
2026-03-14,Internet Service,-59.99
2026-03-20,Starbucks Coffee,-17.84
2026-03-27,Online Course,-49
2026-04-01,Monthly Rent,-1650
2026-04-05,Trader Joes,-142.67
2026-04-09,Uber Trip,-34.76
2026-04-12,Mobile Phone Bill,-52
2026-04-16,Spotify,-11.99
2026-04-23,Amazon Marketplace,-96.52
2026-05-01,Monthly Rent,-1650
2026-05-04,Kroger Grocery,-167.10
2026-05-08,Shell Gas,-51.42
2026-05-13,Electric Bill,-88.25
2026-05-18,DoorDash Restaurant,-31.64
2026-05-25,Pharmacy,-24.80

